"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","NER","2021","29","412","412","54","33","21","48.82","40.73","8.09","12.91","65","44.63"
"","SEA","2021","28","357","322","48","22","26","39.40","29.36","10.04","15.96","57","44.90"
"","SKC","2021","28","413","322","51","31","20","46.90","36.34","10.57","9.43","52","45.43"
"","COL","2021","28","378","341","40","27","13","37.72","32.96","4.76","8.24","51","41.78"
"","NSH","2021","28","387","306","45","25","20","41.86","27.43","14.43","5.57","47","48.20"
"","POR","2021","28","355","432","44","43","1","38.60","49.47","-10.86","11.86","46","31.45"
"","PHI","2021","28","351","326","36","25","11","35.56","36.05","-0.48","11.48","45","37.61"
"","ORL","2021","28","325","361","40","38","2","35.55","36.07","-0.52","2.52","42","38.74"
"","DCU","2021","28","378","292","48","36","12","44.71","28.12","16.59","-4.59","40","49.21"
"","NYC","2021","28","437","261","43","31","12","47.30","28.72","18.58","-6.58","40","51.09"
"","MTL","2021","28","335","345","39","36","3","39.89","33.72","6.17","-3.17","40","43.15"
"","RSL","2021","28","363","395","44","42","2","36.36","43.14","-6.78","8.78","39","35.06"
"","ATL","2021","28","373","372","34","33","1","37.66","39.63","-1.97","2.97","39","37.27"
"","LAG","2021","28","357","400","37","44","-7","38.25","40.67","-2.42","-4.58","39","36.23"
"","MIN","2021","28","411","337","31","34","-3","39.83","33.79","6.04","-9.04","38","43.65"
"","NYRB","2021","28","405","279","34","30","4","36.64","33.57","3.06","0.94","37","40.99"
"","VAN","2021","28","303","401","34","36","-2","34.28","42.36","-8.07","6.07","37","34.61"
"","LAFC","2021","28","434","276","38","41","-3","48.87","27.21","21.65","-24.65","34","51.65"
"","CLB","2021","28","308","400","28","39","-11","28.61","38.20","-9.58","-1.42","34","31.23"
"","SJE","2021","28","343","435","31","41","-10","35.31","49.76","-14.45","4.45","33","29.38"
"","MIA","2021","28","259","358","25","42","-17","26.74","40.32","-13.58","-3.42","32","29.87"
"","FCD","2021","29","384","415","38","46","-8","37.79","43.74","-5.95","-2.05","28","35.42"
"","HOU","2021","29","354","382","32","44","-12","36.18","41.01","-4.84","-7.16","27","35.97"
"","CHI","2021","29","393","388","27","43","-16","35.67","41.09","-5.42","-10.58","27","35.79"
"","ATX","2021","28","368","423","29","44","-15","35.54","43.17","-7.63","-7.37","25","34.76"
"","TOR","2021","28","270","379","33","53","-20","33.19","43.86","-10.67","-9.33","25","31.00"
"","CIN","2021","28","337","430","29","53","-24","30.37","47.13","-16.76","-7.24","20","27.64"